                age  player_height  player_weight   draft_round  draft_number  \
count  12844.000000   12844.000000   12844.000000  12844.000000  12844.000000   
mean      27.045313     200.555097     100.263279      1.059172     17.774914   
std        4.339211       9.111090      12.426628      0.683223     16.803276   
min       18.000000     160.020000      60.327736      0.000000      0.000000   
25%       24.000000     193.040000      90.718400      1.000000      3.000000   
50%       26.000000     200.660000      99.790240      1.000000     14.000000   
75%       30.000000     208.280000     108.862080      1.000000     29.000000   
max       44.000000     231.140000     163.293120      8.000000    165.000000   

                 gp           pts           reb           ast    net_rating  \
count  12844.000000  12844.000000  12844.000000  12844.000000  12844.000000   
mean      51.154158      8.212582      3.558486      1.824681     -2.226339   
std       25.084904      6.016573      2.477885      1.800840     12.665124   
min        1.000000      0.000000      0.000000      0.000000   -250.000000   
25%       31.000000      3.600000      1.800000      0.600000     -6.400000   
50%       57.000000      6.700000      3.000000      1.200000     -1.300000   
75%       73.000000     11.500000      4.700000      2.400000      3.200000   
max       85.000000     36.100000     16.300000     11.700000    300.000000   

           oreb_pct      dreb_pct       usg_pct        ts_pct       ast_pct  
count  12844.000000  12844.000000  12844.000000  12844.000000  12844.000000  
mean       0.054073      0.140646      0.184641      0.513138      0.131595  
std        0.043335      0.062513      0.053545      0.101724      0.094172  
min        0.000000      0.000000      0.000000      0.000000      0.000000  
25%        0.021000      0.096000      0.149000      0.482000      0.066000  
50%        0.040000      0.130500      0.181000      0.525000      0.103000  
75%        0.083000      0.179000      0.217000      0.563000      0.179000  
max        1.000000      1.000000      1.000000      1.500000      1.000000  
